功能点,内容
AI演讲稿,备注太啰嗦、太用力了，像写文章，不利于演讲时的提示作用
AI演讲稿,生成演讲稿后无法导出。
AI演讲稿,要能够结合我自己的讲解和ai的内容进行修改就好了
AI演讲稿,部分页面无法生成AI演讲稿时，应设置重新生成或跳过选项，而不是只有一页无法解析就导致所有页都不能AI。
AI演讲稿,很拉，没用
AI演讲稿,建议可选择生成英文的演讲稿
AI演讲稿,前面几页没有根据内容进行分析总结，不能去讲概念
AI演讲稿,英语PPT没有英文版
AI演讲稿,太浮于表面了，不自然，不像是正常的演讲语言，一眼人机；另外内容非常浅层，PPT中想表达的实际内容基本上不提，只是讲一些浮于表面的废话。
AI演讲稿,咋这玩意一直无法导出？
AI演讲稿,可以自定义回报的时间吗?可以选择汇报人身份吗？
AI演讲稿,一直提示部分内容无法解析，请尝试调整内容(403000004)
AI 演讲稿,ppt全部生成演讲稿会退出，单张ppt却可以。建议全部生成不能生成的空开，让其他ppt继续生成，而不要退出。
1月,
AI演讲稿,连最基础的专业名词都翻译错了，希望以后应该使用deepseek进行生成，自研AI还是跟不上主流
AI演讲稿,制作AI视频，始终停在最后一分钟，无法完成制作
AI演讲稿,反馈出现错误
AI演讲稿,导出做文档点击没有反应
AI演讲稿,导出文档失败
AI演讲稿,AI会员不能导入演讲稿到ppt里
AI演讲稿,全英文的PPT，输出的AI演讲稿为什么是中文的，应该是输出英文的
AI演讲稿,请把每页字数控制在70个字左右
AI演讲稿,识别不了图片
